disease,symptoms,symptoms_text,expanded_symptoms,expanded_text,symptoms_count,precautions,precautions_text,precautions_count,search_text,display_text,doc_id
hypertension,"['headache', 'dizziness', 'chest pain', 'loss of balance', 'lack of concentration']",headache dizziness chest pain loss of balance lack of concentration,"['headache', 'chest pain', 'dizziness', 'loss of balance', 'lack of concentration']",headache chest pain dizziness loss of balance lack of concentration,5,"['meditation', 'salt baths', 'reduce stress', 'get proper sleep']",meditation salt baths reduce stress get proper sleep,4,hypertension headache chest pain dizziness loss of balance lack of concentration meditation salt baths reduce stress get proper sleep,"Disease: Hypertension

Symptoms:
  1. headache
  2. dizziness
  3. chest pain
  4. loss of balance
  5. lack of concentration

Precautions:
  1. meditation
  2. salt baths
  3. reduce stress
  4. get proper sleep
",10
migraine,"['headache', 'visual disturbances', 'stiff neck', 'acidity', 'indigestion', 'blurred and distorted vision', 'depression', 'excessive hunger', 'irritability']",headache visual disturbances stiff neck acidity indigestion blurred and distorted vision depression excessive hunger irritability,"['headache', 'visual disturbances', 'stiff neck', 'acidity', 'indigestion', 'blurred and distorted vision', 'depression', 'excessive hunger', 'irritability']",headache visual disturbances stiff neck acidity indigestion blurred and distorted vision depression excessive hunger irritability,9,"['meditation', 'reduce stress', 'use poloroid glasses in sun', 'consult doctor']",meditation reduce stress use poloroid glasses in sun consult doctor,4,migraine headache visual disturbances stiff neck acidity indigestion blurred and distorted vision depression excessive hunger irritability meditation reduce stress use poloroid glasses in sun consult doctor,"Disease: Migraine

Symptoms:
  1. headache
  2. visual disturbances
  3. stiff neck
  4. acidity
  5. indigestion
  6. blurred and distorted vision
  7. depression
  8. excessive hunger
  9. irritability

Precautions:
  1. meditation
  2. reduce stress
  3. use poloroid glasses in sun
  4. consult doctor
",11
cervical spondylosis,"['neck pain', 'dizziness', 'loss of balance', 'weakness in limbs', 'back pain']",neck pain dizziness loss of balance weakness in limbs back pain,"['neck pain', 'dizziness', 'loss of balance', 'weakness in limbs', 'back pain']",neck pain dizziness loss of balance weakness in limbs back pain,5,"['use heating pad or cold pack', 'exercise', 'take otc pain reliver', 'consult doctor']",use heating pad or cold pack exercise take otc pain reliver consult doctor,4,cervical spondylosis neck pain dizziness loss of balance weakness in limbs back pain use heating pad or cold pack exercise take otc pain reliver consult doctor,"Disease: Cervical Spondylosis

Symptoms:
  1. neck pain
  2. dizziness
  3. loss of balance
  4. weakness in limbs
  5. back pain

Precautions:
  1. use heating pad or cold pack
  2. exercise
  3. take otc pain reliver
  4. consult doctor
",12
paralysis brain hemorrhage,"['headache', 'weakness of one body side', 'altered sensorium', 'vomiting']",headache weakness of one body side altered sensorium vomiting,"['headache', 'weakness of one body side', 'altered sensorium', 'vomiting']",headache weakness of one body side altered sensorium vomiting,4,"['massage', 'eat healthy', 'exercise', 'consult doctor']",massage eat healthy exercise consult doctor,4,paralysis brain hemorrhage headache weakness of one body side altered sensorium vomiting massage eat healthy exercise consult doctor,"Disease: Paralysis Brain Hemorrhage

Symptoms:
  1. headache
  2. weakness of one body side
  3. altered sensorium
  4. vomiting

Precautions:
  1. massage
  2. eat healthy
  3. exercise
  4. consult doctor
",13
jaundice,"['yellowish skin', 'fatigue', 'weight loss', 'vomiting', 'abdominal pain', 'high fever', 'itching', 'dark urine']",yellowish skin fatigue weight loss vomiting abdominal pain high fever itching dark urine,"['yellowish skin', 'fatigue', 'weight loss', 'vomiting', 'abdominal pain', 'high fever', 'itching', 'dark urine']",yellowish skin fatigue weight loss vomiting abdominal pain high fever itching dark urine,8,"['drink plenty of water', 'consume milk thistle', 'eat fruits and high fiberous food', 'medication']",drink plenty of water consume milk thistle eat fruits and high fiberous food medication,4,jaundice yellowish skin fatigue weight loss vomiting abdominal pain high fever itching dark urine drink plenty of water consume milk thistle eat fruits and high fiberous food medication,"Disease: Jaundice

Symptoms:
  1. yellowish skin
  2. fatigue
  3. weight loss
  4. vomiting
  5. abdominal pain
  6. high fever
  7. itching
  8. dark urine

Precautions:
  1. drink plenty of water
  2. consume milk thistle
  3. eat fruits and high fiberous food
  4. medication
",14
malaria,"['headache', 'diarrhoea', 'nausea', 'sweating', 'vomiting', 'chills', 'high fever', 'muscle pain']",headache diarrhoea nausea sweating vomiting chills high fever muscle pain,"['headache', 'diarrhoea', 'nausea', 'sweating', 'vomiting', 'chills', 'high fever', 'muscle pain']",headache diarrhoea nausea sweating vomiting chills high fever muscle pain,8,"['consult nearest hospital', 'avoid oily food', 'avoid non veg food', 'keep mosquitos out']",consult nearest hospital avoid oily food avoid non veg food keep mosquitos out,4,malaria headache diarrhoea nausea sweating vomiting chills high fever muscle pain consult nearest hospital avoid oily food avoid non veg food keep mosquitos out,"Disease: Malaria

Symptoms:
  1. headache
  2. diarrhoea
  3. nausea
  4. sweating
  5. vomiting
  6. chills
  7. high fever
  8. muscle pain

Precautions:
  1. consult nearest hospital
  2. avoid oily food
  3. avoid non veg food
  4. keep mosquitos out
",15
chicken pox,"['skin rash', 'headache', 'loss of appetite', 'mild fever', 'fatigue', 'red spots over body', 'malaise', 'lethargy', 'swelled lymph nodes', 'high fever', 'itching']",skin rash headache loss of appetite mild fever fatigue red spots over body malaise lethargy swelled lymph nodes high fever itching,"['skin rash', 'headache', 'loss of appetite', 'mild fever', 'fatigue', 'red spots over body', 'malaise', 'lethargy', 'swelled lymph nodes', 'high fever', 'itching']",skin rash headache loss of appetite mild fever fatigue red spots over body malaise lethargy swelled lymph nodes high fever itching,11,"['use neem in bathing', 'consume neem leaves', 'take vaccine', 'avoid public places']",use neem in bathing consume neem leaves take vaccine avoid public places,4,chicken pox skin rash headache loss of appetite mild fever fatigue red spots over body malaise lethargy swelled lymph nodes high fever itching use neem in bathing consume neem leaves take vaccine avoid public places,"Disease: Chicken Pox

Symptoms:
  1. skin rash
  2. headache
  3. loss of appetite
  4. mild fever
  5. fatigue
  6. red spots over body
  7. malaise
  8. lethargy
  9. swelled lymph nodes
  10. high fever
  11. itching

Precautions:
  1. use neem in bathing
  2. consume neem leaves
  3. take vaccine
  4. avoid public places
",16
dengue,"['skin rash', 'headache', 'loss of appetite', 'red spots over body', 'fatigue', 'nausea', 'muscle pain', 'malaise', 'vomiting', 'joint pain', 'chills', 'high fever', 'pain behind the eyes', 'back pain']",skin rash headache loss of appetite red spots over body fatigue nausea muscle pain malaise vomiting joint pain chills high fever pain behind the eyes back pain,"['skin rash', 'headache', 'loss of appetite', 'red spots over body', 'fatigue', 'nausea', 'back pain', 'malaise', 'vomiting', 'joint pain', 'chills', 'high fever', 'pain behind the eyes', 'muscle pain']",skin rash headache loss of appetite red spots over body fatigue nausea back pain malaise vomiting joint pain chills high fever pain behind the eyes muscle pain,14,"['drink papaya leaf juice', 'avoid fatty spicy food', 'keep mosquitos away', 'keep hydrated']",drink papaya leaf juice avoid fatty spicy food keep mosquitos away keep hydrated,4,dengue skin rash headache loss of appetite red spots over body fatigue nausea back pain malaise vomiting joint pain chills high fever pain behind the eyes muscle pain drink papaya leaf juice avoid fatty spicy food keep mosquitos away keep hydrated,"Disease: Dengue

Symptoms:
  1. skin rash
  2. headache
  3. loss of appetite
  4. red spots over body
  5. fatigue
  6. nausea
  7. muscle pain
  8. malaise
  9. vomiting
  10. joint pain
  11. chills
  12. high fever
  13. pain behind the eyes
  14. back pain

Precautions:
  1. drink papaya leaf juice
  2. avoid fatty spicy food
  3. keep mosquitos away
  4. keep hydrated
",17
typhoid,"['headache', 'diarrhoea', 'fatigue', 'nausea', 'toxic look (typhos)', 'vomiting', 'abdominal pain', 'constipation', 'chills', 'belly pain', 'high fever']",headache diarrhoea fatigue nausea toxic look (typhos) vomiting abdominal pain constipation chills belly pain high fever,"['headache', 'diarrhoea', 'fatigue', 'nausea', 'toxic look (typhos)', 'vomiting', 'abdominal pain', 'constipation', 'chills', 'belly pain', 'high fever']",headache diarrhoea fatigue nausea toxic look (typhos) vomiting abdominal pain constipation chills belly pain high fever,11,"['eat high calorie vegitables', 'antiboitic therapy', 'consult doctor', 'medication']",eat high calorie vegitables antiboitic therapy consult doctor medication,4,typhoid headache diarrhoea fatigue nausea toxic look (typhos) vomiting abdominal pain constipation chills belly pain high fever eat high calorie vegitables antiboitic therapy consult doctor medication,"Disease: Typhoid

Symptoms:
  1. headache
  2. diarrhoea
  3. fatigue
  4. nausea
  5. toxic look (typhos)
  6. vomiting
  7. abdominal pain
  8. constipation
  9. chills
  10. belly pain
  11. high fever

Precautions:
  1. eat high calorie vegitables
  2. antiboitic therapy
  3. consult doctor
  4. medication
",18
hepatitis a,"['yellowing of eyes', 'yellowish skin', 'diarrhoea', 'loss of appetite', 'mild fever', 'nausea', 'vomiting', 'abdominal pain', 'joint pain', 'dark urine', 'muscle pain']",yellowing of eyes yellowish skin diarrhoea loss of appetite mild fever nausea vomiting abdominal pain joint pain dark urine muscle pain,"['yellowing of eyes', 'yellowish skin', 'diarrhoea', 'loss of appetite', 'mild fever', 'nausea', 'vomiting', 'abdominal pain', 'joint pain', 'dark urine', 'muscle pain']",yellowing of eyes yellowish skin diarrhoea loss of appetite mild fever nausea vomiting abdominal pain joint pain dark urine muscle pain,11,"['consult nearest hospital', 'wash hands through', 'avoid fatty spicy food', 'medication']",consult nearest hospital wash hands through avoid fatty spicy food medication,4,hepatitis a yellowing of eyes yellowish skin diarrhoea loss of appetite mild fever nausea vomiting abdominal pain joint pain dark urine muscle pain consult nearest hospital wash hands through avoid fatty spicy food medication,"Disease: Hepatitis A

Symptoms:
  1. yellowing of eyes
  2. yellowish skin
  3. diarrhoea
  4. loss of appetite
  5. mild fever
  6. nausea
  7. vomiting
  8. abdominal pain
  9. joint pain
  10. dark urine
  11. muscle pain

Precautions:
  1. consult nearest hospital
  2. wash hands through
  3. avoid fatty spicy food
  4. medication
",19
hepatitis b,"['yellowing of eyes', 'yellowish skin', 'receiving blood transfusion', 'receiving unsterile injections', 'loss of appetite', 'fatigue', 'malaise', 'lethargy', 'abdominal pain', 'yellow urine', 'itching', 'dark urine']",yellowing of eyes yellowish skin receiving blood transfusion receiving unsterile injections loss of appetite fatigue malaise lethargy abdominal pain yellow urine itching dark urine,"['yellowing of eyes', 'receiving blood transfusion', 'yellowish skin', 'receiving unsterile injections', 'loss of appetite', 'fatigue', 'malaise', 'lethargy', 'abdominal pain', 'yellow urine', 'itching', 'dark urine']",yellowing of eyes receiving blood transfusion yellowish skin receiving unsterile injections loss of appetite fatigue malaise lethargy abdominal pain yellow urine itching dark urine,12,"['consult nearest hospital', 'vaccination', 'eat healthy', 'medication']",consult nearest hospital vaccination eat healthy medication,4,hepatitis b yellowing of eyes receiving blood transfusion yellowish skin receiving unsterile injections loss of appetite fatigue malaise lethargy abdominal pain yellow urine itching dark urine consult nearest hospital vaccination eat healthy medication,"Disease: Hepatitis B

Symptoms:
  1. yellowing of eyes
  2. yellowish skin
  3. receiving blood transfusion
  4. receiving unsterile injections
  5. loss of appetite
  6. fatigue
  7. malaise
  8. lethargy
  9. abdominal pain
  10. yellow urine
  11. itching
  12. dark urine

Precautions:
  1. consult nearest hospital
  2. vaccination
  3. eat healthy
  4. medication
",20
hepatitis c,"['yellowing of eyes', 'yellowish skin', 'loss of appetite', 'fatigue', 'nausea', 'family history']",yellowing of eyes yellowish skin loss of appetite fatigue nausea family history,"['yellowing of eyes', 'yellowish skin', 'loss of appetite', 'fatigue', 'nausea', 'family history']",yellowing of eyes yellowish skin loss of appetite fatigue nausea family history,6,"['consult nearest hospital', 'vaccination', 'eat healthy', 'medication']",consult nearest hospital vaccination eat healthy medication,4,hepatitis c yellowing of eyes yellowish skin loss of appetite fatigue nausea family history consult nearest hospital vaccination eat healthy medication,"Disease: Hepatitis C

Symptoms:
  1. yellowing of eyes
  2. yellowish skin
  3. loss of appetite
  4. fatigue
  5. nausea
  6. family history

Precautions:
  1. consult nearest hospital
  2. vaccination
  3. eat healthy
  4. medication
",21
hepatitis d,"['yellowing of eyes', 'yellowish skin', 'loss of appetite', 'fatigue', 'nausea', 'vomiting', 'abdominal pain', 'joint pain', 'dark urine']",yellowing of eyes yellowish skin loss of appetite fatigue nausea vomiting abdominal pain joint pain dark urine,"['yellowing of eyes', 'yellowish skin', 'loss of appetite', 'fatigue', 'nausea', 'vomiting', 'abdominal pain', 'joint pain', 'dark urine']",yellowing of eyes yellowish skin loss of appetite fatigue nausea vomiting abdominal pain joint pain dark urine,9,"['consult doctor', 'medication', 'eat healthy', 'follow up']",consult doctor medication eat healthy follow up,4,hepatitis d yellowing of eyes yellowish skin loss of appetite fatigue nausea vomiting abdominal pain joint pain dark urine consult doctor medication eat healthy follow up,"Disease: Hepatitis D

Symptoms:
  1. yellowing of eyes
  2. yellowish skin
  3. loss of appetite
  4. fatigue
  5. nausea
  6. vomiting
  7. abdominal pain
  8. joint pain
  9. dark urine

Precautions:
  1. consult doctor
  2. medication
  3. eat healthy
  4. follow up
",22
hepatitis e,"['acute liver failure', 'yellowing of eyes', 'yellowish skin', 'loss of appetite', 'fatigue', 'nausea', 'coma', 'vomiting', 'abdominal pain', 'joint pain', 'stomach bleeding', 'high fever', 'dark urine']",acute liver failure yellowing of eyes yellowish skin loss of appetite fatigue nausea coma vomiting abdominal pain joint pain stomach bleeding high fever dark urine,"['acute liver failure', 'yellowing of eyes', 'yellowish skin', 'loss of appetite', 'fatigue', 'nausea', 'coma', 'vomiting', 'abdominal pain', 'joint pain', 'stomach bleeding', 'high fever', 'dark urine']",acute liver failure yellowing of eyes yellowish skin loss of appetite fatigue nausea coma vomiting abdominal pain joint pain stomach bleeding high fever dark urine,13,"['stop alcohol consumption', 'rest', 'consult doctor', 'medication']",stop alcohol consumption rest consult doctor medication,4,hepatitis e acute liver failure yellowing of eyes yellowish skin loss of appetite fatigue nausea coma vomiting abdominal pain joint pain stomach bleeding high fever dark urine stop alcohol consumption rest consult doctor medication,"Disease: Hepatitis E

Symptoms:
  1. acute liver failure
  2. yellowing of eyes
  3. yellowish skin
  4. loss of appetite
  5. fatigue
  6. nausea
  7. coma
  8. vomiting
  9. abdominal pain
  10. joint pain
  11. stomach bleeding
  12. high fever
  13. dark urine

Precautions:
  1. stop alcohol consumption
  2. rest
  3. consult doctor
  4. medication
",23
alcoholic hepatitis,"['history of alcohol consumption', 'swelling of stomach', 'distention of abdomen', 'yellowish skin', 'vomiting', 'abdominal pain', 'fluid overload']",history of alcohol consumption swelling of stomach distention of abdomen yellowish skin vomiting abdominal pain fluid overload,"['history of alcohol consumption', 'swelling of stomach', 'distention of abdomen', 'yellowish skin', 'vomiting', 'abdominal pain', 'fluid overload']",history of alcohol consumption swelling of stomach distention of abdomen yellowish skin vomiting abdominal pain fluid overload,7,"['stop alcohol consumption', 'consult doctor', 'medication', 'follow up']",stop alcohol consumption consult doctor medication follow up,4,alcoholic hepatitis history of alcohol consumption swelling of stomach distention of abdomen yellowish skin vomiting abdominal pain fluid overload stop alcohol consumption consult doctor medication follow up,"Disease: Alcoholic Hepatitis

Symptoms:
  1. history of alcohol consumption
  2. swelling of stomach
  3. distention of abdomen
  4. yellowish skin
  5. vomiting
  6. abdominal pain
  7. fluid overload

Precautions:
  1. stop alcohol consumption
  2. consult doctor
  3. medication
  4. follow up
",24
tuberculosis,"['yellowing of eyes', 'cough', 'loss of appetite', 'mild fever', 'fatigue', 'malaise', 'sweating', 'weight loss', 'vomiting', 'breathlessness', 'chest pain', 'phlegm', 'chills', 'blood in sputum', 'swelled lymph nodes', 'high fever']",yellowing of eyes cough loss of appetite mild fever fatigue malaise sweating weight loss vomiting breathlessness chest pain phlegm chills blood in sputum swelled lymph nodes high fever,"['yellowing of eyes', 'cough', 'loss of appetite', 'mild fever', 'fatigue', 'malaise', 'sweating', 'weight loss', 'vomiting', 'breathlessness', 'chest pain', 'phlegm', 'chills', 'blood in sputum', 'swelled lymph nodes', 'high fever']",yellowing of eyes cough loss of appetite mild fever fatigue malaise sweating weight loss vomiting breathlessness chest pain phlegm chills blood in sputum swelled lymph nodes high fever,16,"['cover mouth', 'consult doctor', 'medication', 'rest']",cover mouth consult doctor medication rest,4,tuberculosis yellowing of eyes cough loss of appetite mild fever fatigue malaise sweating weight loss vomiting breathlessness chest pain phlegm chills blood in sputum swelled lymph nodes high fever cover mouth consult doctor medication rest,"Disease: Tuberculosis

Symptoms:
  1. yellowing of eyes
  2. cough
  3. loss of appetite
  4. mild fever
  5. fatigue
  6. malaise
  7. sweating
  8. weight loss
  9. vomiting
  10. breathlessness
  11. chest pain
  12. phlegm
  13. chills
  14. blood in sputum
  15. swelled lymph nodes
  16. high fever

Precautions:
  1. cover mouth
  2. consult doctor
  3. medication
  4. rest
",25
common cold,"['headache', 'cough', 'loss of smell', 'sinus pressure', 'fatigue', 'redness of eyes', 'malaise', 'throat irritation', 'chest pain', 'congestion', 'runny nose', 'phlegm', 'chills', 'swelled lymph nodes', 'high fever', 'continuous sneezing', 'muscle pain']",headache cough loss of smell sinus pressure fatigue redness of eyes malaise throat irritation chest pain congestion runny nose phlegm chills swelled lymph nodes high fever continuous sneezing muscle pain,"['headache', 'cough', 'loss of smell', 'continuous sneezing', 'sinus pressure', 'fatigue', 'redness of eyes', 'malaise', 'chest pain', 'congestion', 'runny nose', 'phlegm', 'chills', 'swelled lymph nodes', 'high fever', 'throat irritation', 'muscle pain']",headache cough loss of smell continuous sneezing sinus pressure fatigue redness of eyes malaise chest pain congestion runny nose phlegm chills swelled lymph nodes high fever throat irritation muscle pain,17,"['drink vitamin c rich drinks', 'take vapour', 'avoid cold food', 'keep fever in check']",drink vitamin c rich drinks take vapour avoid cold food keep fever in check,4,common cold headache cough loss of smell continuous sneezing sinus pressure fatigue redness of eyes malaise chest pain congestion runny nose phlegm chills swelled lymph nodes high fever throat irritation muscle pain drink vitamin c rich drinks take vapour avoid cold food keep fever in check,"Disease: Common Cold

Symptoms:
  1. headache
  2. cough
  3. loss of smell
  4. sinus pressure
  5. fatigue
  6. redness of eyes
  7. malaise
  8. throat irritation
  9. chest pain
  10. congestion
  11. runny nose
  12. phlegm
  13. chills
  14. swelled lymph nodes
  15. high fever
  16. continuous sneezing
  17. muscle pain

Precautions:
  1. drink vitamin c rich drinks
  2. take vapour
  3. avoid cold food
  4. keep fever in check
",26
pneumonia,"['cough', 'fatigue', 'malaise', 'sweating', 'chest pain', 'breathlessness', 'fast heart rate', 'rusty sputum', 'phlegm', 'chills', 'high fever']",cough fatigue malaise sweating chest pain breathlessness fast heart rate rusty sputum phlegm chills high fever,"['cough', 'fatigue', 'malaise', 'sweating', 'chest pain', 'breathlessness', 'fast heart rate', 'rusty sputum', 'phlegm', 'chills', 'high fever']",cough fatigue malaise sweating chest pain breathlessness fast heart rate rusty sputum phlegm chills high fever,11,"['consult doctor', 'medication', 'rest', 'follow up']",consult doctor medication rest follow up,4,pneumonia cough fatigue malaise sweating chest pain breathlessness fast heart rate rusty sputum phlegm chills high fever consult doctor medication rest follow up,"Disease: Pneumonia

Symptoms:
  1. cough
  2. fatigue
  3. malaise
  4. sweating
  5. chest pain
  6. breathlessness
  7. fast heart rate
  8. rusty sputum
  9. phlegm
  10. chills
  11. high fever

Precautions:
  1. consult doctor
  2. medication
  3. rest
  4. follow up
",27
